IRDATE,IRDEPTH,IRCONC,IRTYPE
2012-04-17,14.4,0.401,1
2012-04-18,14.4,0.401,1
2012-04-19,14.4,0.401,1
2012-04-20,14.4,0.401,1
2012-04-21,14.4,0.401,1
2012-04-22,14.4,0.401,1
2012-04-23,14.4,0.401,1
2012-04-24,14.4,0.401,1
2012-04-25,14.4,0.401,1
2012-04-26,14.4,0.401,1
2012-04-27,14.4,0.401,1
2012-04-28,14.4,0.401,1
2012-04-29,14.4,0.401,1
2012-04-30,14.4,0.401,1
2012-05-01,14.4,0.401,1
2012-05-02,14.4,0.401,1
2012-05-03,14.4,0.401,1
2012-05-04,14.4,0.401,1
2012-05-05,14.4,0.401,1
2012-05-06,14.4,0.401,1
2012-05-07,14.4,0.401,1
2012-05-08,14.4,0.401,1
2012-05-09,14.4,0.401,1
2012-05-10,14.4,0.401,1
2012-05-11,14.4,0.401,1
2012-05-12,14.4,0.401,1
2012-05-13,14.4,0.401,1
2012-05-14,14.4,0.401,1
2012-05-15,14.4,0.401,1
2012-05-16,14.4,0.401,1
2012-05-17,14.4,0.401,1
2012-05-18,14.4,0.401,1
2012-05-19,14.4,0.401,1
2012-05-20,14.4,0.401,1
2012-05-21,14.4,0.401,1
2012-05-22,14.4,0.401,1
2012-05-23,14.4,0.401,1
2012-05-24,14.4,0.401,1
2012-05-25,14.4,0.401,1
2012-05-26,14.4,0.401,1
2012-05-27,14.4,0.401,1
2012-05-28,14.4,0.401,1
2012-05-29,14.4,0.401,1
2012-05-30,14.4,0.401,1
2012-05-31,14.4,0.401,1
2012-06-01,14.4,0.401,1
2012-06-02,14.4,0.401,1
2012-06-03,14.4,0.401,1
2012-06-04,14.4,0.401,1
2012-06-05,14.4,0.401,1
2012-06-06,14.4,0.401,1
2012-06-07,14.4,0.401,1
2012-06-08,14.4,0.401,1
2012-06-09,14.4,0.401,1
2012-06-10,14.4,0.401,1
2012-06-11,14.4,0.401,1
2012-06-12,14.4,0.401,1
2012-06-13,14.4,0.401,1
2012-06-14,14.4,0.401,1
2012-06-15,14.4,0.401,1
2012-06-16,14.4,0.401,1
2012-06-17,14.4,0.401,1
2012-06-18,14.4,0.401,1
2012-06-19,14.4,0.401,1
2012-06-20,14.4,0.401,1
2012-06-21,14.4,0.401,1
2012-06-22,14.4,0.401,1
2012-06-23,14.4,0.401,1
2012-06-24,14.4,0.401,1
2012-06-25,14.4,0.401,1
2012-06-26,14.4,0.401,1
2012-06-27,14.4,0.401,1
2012-06-28,14.4,0.401,1
2012-06-29,14.4,0.401,1
2012-06-30,14.4,0.401,1
2012-07-01,14.4,0.401,1
2012-07-02,14.4,0.401,1
2012-07-03,14.4,0.401,1
2012-07-04,14.4,0.401,1
2012-07-05,14.4,0.401,1
2012-07-06,14.4,0.401,1
2012-07-07,14.4,0.401,1
2012-07-08,14.4,0.401,1
2012-07-09,14.4,0.401,1
2012-07-10,14.4,0.401,1
2012-07-11,14.4,0.401,1
2012-07-12,14.4,0.401,1
2012-07-13,14.4,0.401,1
2012-07-14,14.4,0.401,1
2012-07-15,14.4,0.401,1
2012-07-16,14.4,0.401,1
2012-07-17,14.4,0.401,1
2012-07-18,14.4,0.401,1
2012-07-19,14.4,0.401,1
2012-07-20,14.4,0.401,1
2012-07-21,14.4,0.401,1
2012-07-22,14.4,0.401,1
2012-07-23,14.4,0.401,1
2012-07-24,14.4,0.401,1
2012-07-25,14.4,0.401,1
2012-07-26,14.4,0.401,1
2012-07-27,14.4,0.401,1
2012-07-28,14.4,0.401,1
2012-07-29,14.4,0.401,1
2012-07-30,14.4,0.401,1
2012-07-31,14.4,0.401,1
2012-08-01,14.4,0.401,1
2012-08-02,14.4,0.401,1
2012-08-03,14.4,0.401,1
2012-08-04,14.4,0.401,1
2012-08-05,14.4,0.401,1
2012-08-06,14.4,0.401,1
2012-08-07,14.4,0.401,1
2012-08-08,14.4,0.401,1
2012-08-09,14.4,0.401,1
2012-08-10,14.4,0.401,1
2012-08-11,14.4,0.401,1
2012-08-12,14.4,0.401,1
2012-08-13,14.4,0.401,1
2012-08-14,14.4,0.401,1
2012-08-15,14.4,0.401,1
2012-08-16,14.4,0.401,1
2012-08-17,14.4,0.401,1
2012-08-18,14.4,0.401,1
2012-08-19,14.4,0.401,1
2012-08-20,14.4,0.401,1
2012-08-21,14.4,0.401,1
2012-08-22,14.4,0.401,1
2012-08-23,14.4,0.401,1
2012-08-24,14.4,0.401,1
2012-08-25,14.4,0.401,1
2012-08-26,14.4,0.401,1
2012-08-27,14.4,0.401,1
2012-08-28,14.4,0.401,1
2012-08-29,14.4,0.401,1
2012-08-30,14.4,0.401,1
2012-08-31,14.4,0.401,1
2012-09-01,14.4,0.401,1
2012-09-02,14.4,0.401,1
2012-09-03,14.4,0.401,1
2012-09-04,14.4,0.401,1
2012-09-05,14.4,0.401,1
2012-09-06,14.4,0.401,1
2012-09-07,14.4,0.401,1
2012-09-08,14.4,0.401,1
2012-09-09,14.4,0.401,1
2012-09-10,14.4,0.401,1
2012-09-11,14.4,0.401,1
2012-09-12,14.4,0.401,1
2012-09-13,14.4,0.401,1
2012-09-14,14.4,0.401,1
2012-09-15,14.4,0.401,1
2012-09-16,14.4,0.401,1
2012-09-17,14.4,0.401,1
2012-09-18,14.4,0.401,1
2012-09-19,14.4,0.401,1
2012-09-20,14.4,0.401,1
2012-09-21,14.4,0.401,1
2012-09-22,14.4,0.401,1
2012-09-23,14.4,0.401,1
2012-09-24,14.4,0.401,1
2012-09-25,14.4,0.401,1
2012-09-26,14.4,0.401,1
2012-09-27,14.4,0.401,1
2012-09-28,14.4,0.401,1
2012-09-29,14.4,0.401,1
2012-09-30,14.4,0.401,1
2012-10-01,14.4,0.401,1
2012-10-02,14.4,0.401,1
2012-10-03,14.4,0.401,1
2012-10-04,14.4,0.401,1
2012-10-05,14.4,0.401,1
2012-10-06,14.4,0.401,1
2012-10-07,14.4,0.401,1
2012-10-08,14.4,0.401,1
2012-10-09,20,1.051,1
2012-10-10,20,1.051,1
2012-10-11,20,1.051,1
2012-10-12,20,1.051,1
2013-05-01,13.2,0.401,1
2013-05-02,13.2,0.401,1
2013-05-03,13.2,0.401,1
2013-05-04,13.2,0.401,1
2013-05-05,13.2,0.401,1
2013-05-06,13.2,0.401,1
2013-05-07,13.2,0.401,1
2013-05-08,13.2,0.401,1
2013-05-09,13.2,0.401,1
2013-05-10,13.2,0.401,1
2013-05-11,13.2,0.401,1
2013-05-12,13.2,0.401,1
2013-05-13,13.2,0.401,1
2013-05-14,13.2,0.401,1
2013-05-15,13.2,0.401,1
2013-05-16,13.2,0.401,1
2013-05-17,13.2,0.401,1
2013-05-18,13.2,0.401,1
2013-05-19,13.2,0.401,1
2013-05-20,13.2,0.401,1
2013-05-21,13.2,0.401,1
2013-05-22,13.2,0.401,1
2013-05-23,13.2,0.401,1
2013-05-24,13.2,0.401,1
2013-05-25,13.2,0.401,1
2013-05-26,13.2,0.401,1
2013-05-27,13.2,1.051,1
2013-05-28,13.2,2.291,1
2013-05-29,13.2,3.614,1
2013-05-30,13.2,4.994,1
2013-05-31,13.2,4.994,1
2013-06-01,13.2,4.994,1
2013-06-02,13.2,4.994,1
2013-06-03,13.2,4.994,1
2013-06-04,13.2,4.994,1
2013-06-05,13.2,4.994,1
2013-06-06,13.2,4.994,1
2013-06-07,13.2,4.994,1
2013-06-08,13.2,4.994,1
2013-06-09,13.2,4.994,1
2013-06-10,13.2,4.994,1
2013-06-11,13.2,4.994,1
2013-06-12,13.2,4.994,1
2013-06-13,13.2,4.994,1
2013-06-14,13.2,4.994,1
2013-06-15,13.2,4.994,1
2013-06-16,13.2,4.994,1
2013-06-17,12,4.994,1
2013-06-18,12,4.994,1
2013-06-19,12,4.994,1
2013-06-20,12,4.994,1
2013-06-21,12,4.994,1
2013-06-22,12,4.994,1
2013-06-23,12,4.994,1
2013-06-24,12,4.994,1
2013-06-25,12,4.994,1
2013-06-26,12,4.994,1
2013-06-27,12,4.994,1
2013-06-28,12,4.994,1
2013-06-29,12,4.994,1
2013-06-30,12,4.994,1
2013-07-01,12,4.994,1
2013-07-02,12,4.994,1
2013-07-03,12,4.994,1
2013-07-04,12,4.994,1
2013-07-05,12,4.994,1
2013-07-06,12,4.994,1
2013-07-07,12,4.994,1
2013-07-08,12,4.994,1
2013-07-09,12,4.994,1
2013-07-10,12,4.994,1
2013-07-11,12,4.994,1
2013-07-12,12,4.994,1
2013-07-13,12,4.994,1
2013-07-14,12,4.994,1
2013-07-15,12,4.994,1
2013-07-16,12,4.994,1
2013-07-17,12,4.994,1
2013-07-18,12,4.994,1
2013-07-19,12,4.994,1
2013-07-20,12,4.994,1
2013-07-21,12,4.994,1
2013-07-22,12,4.994,1
2013-07-23,12,4.994,1
2013-07-24,12,4.994,1
2013-07-25,12,4.994,1
2013-07-26,12,4.994,1
2013-07-27,12,4.994,1
2013-07-28,12,4.994,1
2013-07-29,12,4.994,1
2013-07-30,12,4.994,1
2013-07-31,12,4.994,1
2013-08-01,12,4.994,1
2013-08-02,12,4.994,1
2013-08-03,12,4.994,1
2013-08-04,12,4.994,1
2013-08-05,12,4.994,1
2013-08-06,12,4.994,1
2013-08-07,12,4.994,1
2013-08-08,12,4.994,1
2013-08-09,12,4.994,1
2013-08-10,12,4.994,1
2013-08-11,12,4.994,1
2013-08-12,12,4.994,1
2013-08-13,12,4.994,1
2013-08-14,12,4.994,1
2013-08-15,12,4.994,1
2013-08-16,12,4.994,1
2013-08-17,12,4.994,1
2013-08-18,12,4.994,1
2013-08-19,12,4.994,1
2013-08-20,12,4.994,1
2013-08-21,12,4.994,1
2013-08-22,12,4.994,1
2013-08-23,12,4.994,1
2013-08-24,12,4.994,1
2013-08-25,12,4.994,1
2013-08-26,12,4.994,1
2013-08-27,12,4.994,1
2013-08-28,12,4.994,1
2013-08-29,12,4.994,1
2013-08-30,12,4.994,1
2013-08-31,12,4.994,1
2013-09-01,12,4.994,1
2013-09-02,12,4.994,1
2013-09-03,12,4.994,1
2013-09-04,12,4.994,1
2013-09-05,12,4.994,1
2013-09-06,12,4.994,1
2013-09-07,12,4.994,1
2013-09-08,12,4.994,1
2013-09-09,12,4.994,1
2013-09-10,12,4.994,1
2013-09-11,12,4.994,1
2013-09-12,12,4.994,1
2013-09-13,12,4.994,1
2013-09-14,12,4.994,1
2013-09-15,12,4.994,1
2013-09-16,12,4.994,1
2013-09-17,12,4.994,1
2013-09-18,12,4.994,1
2013-09-19,12,4.994,1
2013-09-20,12,4.994,1
2013-09-21,12,4.994,1
2013-09-22,12,4.994,1
2013-09-23,12,4.994,1
2013-09-24,12,4.994,1
2013-09-25,12,4.994,1
2013-09-26,12,4.994,1
2013-09-27,12,4.994,1
2013-09-28,12,4.994,1
2013-09-29,12,4.994,1
2013-09-30,12,4.994,1
2013-10-01,12,4.994,1
2013-10-02,12,4.994,1
2013-10-03,12,4.994,1
2013-10-04,12,4.994,1
2013-10-05,12,4.994,1
2013-10-06,12,4.994,1
2013-10-07,12,4.994,1
2013-10-08,12,4.994,1
2013-10-09,12,4.994,1
2013-10-10,12,4.994,1
2013-10-11,12,4.994,1
2013-10-12,12,4.994,1
2013-10-13,12,4.994,1
2013-10-14,12,4.994,1
2013-10-15,12,4.994,1
2013-10-16,12,4.994,1
2013-10-17,12,4.994,1
2013-10-18,12,4.994,1
2013-10-19,12,4.994,1
2013-10-20,12,4.994,1
2013-10-21,12,4.994,1
2013-10-22,12,4.994,1
2013-10-23,12,4.994,1
2013-10-24,12,4.994,1
2013-10-25,12,4.994,1
2013-10-26,12,4.994,1
2013-10-27,12,4.994,1
2013-10-28,12,4.994,1
2013-10-29,12,4.994,1
2013-10-30,12,4.994,1
2013-10-31,12,4.994,1
2013-11-01,20,1.051,1
2013-11-02,20,1.051,1
2013-11-03,20,1.051,1
2013-11-04,20,1.051,1
2014-04-29,11,0.401,1
2014-04-30,11,0.401,1
2014-05-01,11,0.401,1
2014-05-02,11,0.401,1
2014-05-03,11,0.401,1
2014-05-04,11,0.401,1
2014-05-05,11,0.401,1
2014-05-06,11,0.401,1
2014-05-07,11,0.401,1
2014-05-08,11,0.401,1
2014-05-09,11,0.401,1
2014-05-10,11,0.401,1
2014-05-11,11,0.401,1
2014-05-12,11,0.401,1
2014-05-13,11,0.401,1
2014-05-14,11,0.401,1
2014-05-15,11,0.401,1
2014-05-16,11,0.401,1
2014-05-17,11,0.401,1
2014-05-18,11,0.401,1
2014-05-19,11,0.401,1
2014-05-20,11,0.401,1
2014-05-21,11,0.401,1
2014-05-22,11,0.401,1
2014-05-23,11,0.401,1
2014-05-24,11,0.401,1
2014-05-25,11,0.401,1
2014-05-26,11,0.401,1
2014-05-27,11,0.401,1
2014-05-28,11,0.401,1
2014-05-29,11,0.401,1
2014-05-30,11,1.051,1
2014-05-31,6,3.614,1
2014-06-01,11,6.418,1
2014-06-02,6,3.614,1
2014-06-03,11,6.418,1
2014-06-04,11,6.418,1
2014-06-05,11,6.418,1
2014-06-06,6,6.418,1
2014-06-07,11,6.418,1
2014-06-08,11,6.418,1
2014-06-09,11,6.418,1
2014-06-10,6,6.418,1
2014-06-11,11,6.418,1
2014-06-12,6,6.418,1
2014-06-13,11,6.418,1
2014-06-14,11,6.418,1
2014-06-15,11,6.418,1
2014-06-16,11,6.418,1
2014-06-17,11,6.418,1
2014-06-18,11,6.418,1
2014-06-19,11,6.418,1
2014-06-21,11,6.418,1
2014-06-22,11,6.418,1
2014-06-23,11,6.418,1
2014-06-24,11,6.418,1
2014-06-25,11,6.418,1
2014-06-27,11,6.418,1
2014-06-28,11,6.418,1
2014-06-29,11,6.418,1
2014-06-30,11,6.418,1
2014-07-01,11,6.418,1
2014-07-02,11,6.418,1
2014-07-03,11,6.418,1
2014-07-04,11,6.418,1
2014-07-05,11,6.418,1
2014-07-06,11,6.418,1
2014-07-07,11,6.418,1
2014-07-08,11,6.418,1
2014-07-09,11,6.418,1
2014-07-10,11,6.418,1
2014-07-11,11,6.418,1
2014-07-12,11,6.418,1
2014-07-13,11,6.418,1
2014-07-14,11,6.418,1
2014-07-15,8,6.418,1
2014-07-16,11,6.418,1
2014-07-17,11,6.418,1
2014-07-18,11,6.418,1
2014-07-19,11,6.418,1
2014-07-20,11,6.418,1
2014-07-21,11,6.418,1
2014-07-22,11,6.418,1
2014-07-23,11,6.418,1
2014-07-24,0,6.418,1
2014-07-25,11,6.418,1
2014-07-26,11,6.418,1
2014-07-27,11,6.418,1
2014-07-28,11,6.418,1
2014-07-29,11,6.418,1
2014-07-30,11,6.418,1
2014-07-31,11,6.418,1
2014-08-01,11,6.418,1
2014-08-02,11,6.418,1
2014-08-03,11,6.418,1
2014-08-04,16,6.418,1
2014-08-05,11,6.418,1
2014-08-06,11,6.418,1
2014-08-07,11,6.418,1
2014-08-08,11,6.418,1
2014-08-09,11,6.418,1
2014-08-10,11,6.418,1
2014-08-11,11,6.418,1
2014-08-12,6,6.418,1
2014-08-13,11,6.418,1
2014-08-14,11,6.418,1
2014-08-15,11,6.418,1
2014-08-16,20,1.051,1
2014-08-17,20,1.051,1
2014-08-18,20,1.051,1
2014-08-19,20,1.051,1
2015-05-07,6,0.401,1
2015-05-08,6,0.401,1
2015-05-09,6,0.401,1
2015-05-10,6,0.401,1
2015-05-11,6,0.401,1
2015-05-12,6,0.401,1
2015-05-13,6,0.401,1
2015-05-14,6,0.401,1
2015-05-15,6,0.401,1
2015-05-16,6,0.401,1
2015-05-17,6,0.401,1
2015-05-18,6,0.401,1
2015-05-19,6,0.401,1
2015-05-20,6,0.401,1
2015-05-21,6,0.401,1
2015-05-22,6.32,0.463,1
2015-05-23,6.35,0.45,1
2015-05-24,0,0.401,1
2015-05-25,6.34,0.383,1
2015-05-26,6.31,0.391,1
2015-05-27,6.25,0.349,1
2015-05-28,6.25,0.349,1
2015-05-29,6.01,0.338,1
2015-05-30,6.25,0.349,1
2015-05-31,6.25,0.349,1
2015-06-01,6,0.302,1
2015-06-02,5.91,0.282,1
2015-06-03,5.97,0.269,1
2015-06-04,0,0,1
2015-06-05,5.85,0.256,1
2015-06-06,6.14,0.485,1
2015-06-07,5.76,0.246,1
2015-06-08,15.99,0.838,1
2015-06-09,9.98,2.291,1
2015-06-10,9.84,3.614,1
2015-06-11,9.74,3.62,1
2015-06-12,9.75,3.61,1
2015-06-13,9.71,3.614,1
2015-06-14,9.67,3.614,1
2015-06-15,9.7,3.61,1
2015-06-16,9.74,3.617,1
2015-06-18,9.55,3.61,1
2015-06-19,9.42,3.614,1
2015-06-20,9.42,3.614,1
2015-06-21,9.42,3.614,1
2015-06-22,9.42,3.614,1
2015-06-23,9.35,3.614,1
2015-06-24,9.39,3.614,1
2015-06-25,9.3,3.61,1
2015-06-26,9.57,3.61,1
2015-06-27,9.47,3.614,1
2015-06-28,9.58,3.614,1
2015-06-29,9.51,3.61,1
2015-06-30,9.44,3.62,1
2015-07-01,9.53,3.617,1
2015-07-02,9.56,3.614,1
2015-07-03,9.63,3.614,1
2015-07-04,9.58,3.607,1
2015-07-05,4.7,3.61,1
2015-07-06,4.68,3.617,1
2015-07-07,9.04,3.614,1
2015-07-08,9.44,3.614,1
2015-07-09,9.52,3.614,1
2015-07-10,9.51,3.62,1
2015-07-11,9.46,3.607,1
2015-07-12,9.53,3.614,1
2015-07-13,9.59,3.61,1
2015-07-14,9.44,3.603,1
2015-07-15,9.52,3.614,1
2015-07-16,9.52,3.614,1
2015-07-17,9.58,3.617,1
2015-07-18,9.45,3.607,1
2015-07-19,9.56,3.614,1
2015-07-20,9.52,3.61,1
2015-07-25,9.5,3.614,1
2015-07-26,9.51,3.61,1
2015-07-27,9.54,3.61,1
2015-07-28,9.52,3.61,1
2015-07-29,9.25,3.614,1
2015-07-30,9.46,3.62,1
2015-07-31,9.58,3.607,1
2015-08-01,9.51,3.62,1
2015-08-02,9.55,3.614,1
2015-08-03,9.56,3.614,1
2015-08-04,9.54,3.62,1
2015-08-05,9.56,3.614,1
2015-08-06,9.47,3.614,1
2015-08-07,9.61,3.617,1
2015-08-08,9.5,3.614,1
2015-08-09,9.53,3.607,1
2015-08-10,9.61,3.614,1
2015-08-11,9.54,3.61,1
2015-08-12,9.44,3.607,1
2015-08-13,9.42,3.614,1
2015-08-14,9.33,3.614,1
2015-08-15,9.46,3.61,1
2015-08-16,9.3,3.614,1
2015-08-17,9.32,3.61,1
2015-08-20,9.48,3.61,1
2015-08-21,9.46,3.614,1
2015-08-22,9.38,3.614,1
2015-08-23,9.41,3.614,1
2015-08-24,9.47,3.61,1
2015-08-25,20,1.051,1
2015-08-26,20,1.051,1
2015-08-27,20,1.051,1
2015-08-28,20,1.051,1
